EXCEL SATIR 156 OK | HARDOLD | 23.06.2026 | Seyir=6 | FAZ30_LISTE=2-1-4-3-5-6-9-9-9-14
EXCEL SATIR 157 OK | HARDOLD | 21.03.2026 | Seyir=11 | AT_BANTTA_YOK_11_FAZ30_LISTE=7-8-14-2-3-17-4-17-1-5
EXCEL SATIR 158 OK | PRINCE OF DARKNESS | 08.07.2026 | Seyir=3 | FAZ30_LISTE=8-1-2-9-4-3-7-5-6-13
EXCEL SATIR 159 OK | PRINCE OF DARKNESS | 21.06.2026 | Seyir=1 | FAZ30_LISTE=6-1-4-7-9-8-2-5-3-4
EXCEL SATIR 160 OK | ÖZTATMAR | 14.06.2026 | Seyir=5 | FAZ30_LISTE=2-4-3-1-5-4-4-4-4-4
EXCEL SATIR 161 OK | ÖZTATMAR | 24.05.2026 | Seyir=7 | FAZ30_LISTE=5-1-3-2-6-7-4-11-11-11
EXCEL SATIR 162 OK | ÖZTATMAR | 12.05.2026 | Seyir=1 | FAZ30_LISTE=2-3-1-4-5
EXCEL SATIR 163 OK | ÖZTATMAR | 04.05.2026 | Seyir=3 | FAZ30_LISTE=1-12-6-2-8-3-10-5-4-7
EXCEL SATIR 164 OK | DEDEMHAMZAREİS | 07.07.2026 | Seyir=8 | FAZ30_LISTE=8-5-4-2-6-7-9-1-13-13
EXCEL SATIR 165 OK | DEDEMHAMZAREİS | 25.06.2026 | Seyir=5 | FAZ30_LISTE=4-6-1-5-2-3-9-9-9-8
EXCEL SATIR 166 OK | DEDEMHAMZAREİS | 14.06.2026 | Seyir=2 | FAZ30_LISTE=2-4-3-1-5
EXCEL SATIR 167 OK | DEDEMHAMZAREİS | 19.05.2026 | Seyir=5 | FAZ30_LISTE=3-4-5-8-2-1-6-7-4-4
EXCEL SATIR 168 OK | DEDEMHAMZAREİS | 05.05.2026 | Seyir=2 | FAZ30_LISTE=2-3-4-1-6-5-9-9-9-9
EXCEL SATIR 169 OK | DEDEMHAMZAREİS | 15.04.2026 | Seyir=6 | FAZ30_LISTE=7-10-6-8-2-4-3-9-5-13
EXCEL SATIR 170 OK | ATICI KAYA | 19.06.2026 | Seyir=4 | FAZ30_LISTE=5-11-6-3-1-9-8-2-4-9
EXCEL SATIR 171 OK | ATICI KAYA | 10.06.2026 | Seyir=5 | FAZ30_LISTE=4-7-1-6-3-5-2-9-9-9
EXCEL SATIR 172 OK | ATICI KAYA | 31.05.2026 | Seyir=2 | FAZ30_LISTE=2-3-6-1-5-4-4-4-4-14
EXCEL SATIR 173 OK | ATICI KAYA | 19.05.2026 | Seyir=2 | FAZ30_LISTE=10-3-2-4-9-11-5-6-7-8
EXCEL SATIR 174 OK | ATICI KAYA | 29.04.2026 | Seyir=4 | FAZ30_LISTE=8-4-5-1-7-2-6-3-3-3
EXCEL SATIR 175 OK | ATICI KAYA | 15.04.2026 | Seyir=3 | FAZ30_LISTE=8-9-1-2-5-7-10-3-4-6
EXCEL SATIR 176 OK | AYDIN DAYI | 14.06.2026 | Seyir=3 | FAZ30_LISTE=2-4-3-1-5
EXCEL SATIR 177 OK | AYDIN DAYI | 04.06.2026 | Seyir=3 | FAZ30_LISTE=7-3-2-1-4-5-4-4-4-4
EXCEL SATIR 178 OK | AYDIN DAYI | 16.05.2026 | Seyir=5 | FAZ30_LISTE=9-4-5-9-3-1-6-10-8-7
EXCEL SATIR 179 OK | AYDIN DAYI | 26.04.2026 | Seyir=4 | FAZ30_LISTE=5-3-4-1-8-7-6-9-7
EXCEL SATIR 180 OK | ERÇETİN | 08.07.2026 | Seyir=3 | FAZ30_LISTE=6-4-2-7-5
